10:00:15 00102 INFO: Converting BPMN pathway GestationalDiabetes.bpmn to json...
10:00:15 20025 ERROR: Simple Node ConceiveFirstChild in GestationalDiabetes.bpmn is not a defined information item.
10:00:15 20025 ERROR: TerminalNode Finish in GestationalDiabetes.bpmn is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
10:00:15 20025 ERROR: Attribute Set GestationalDiabetes in GestationalDiabetes is not a defined information item.
